EO	scenario	checkpoint_year	P_collapsed	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90	delta_P_collapsed_vs_baseline
EO70	K_decline_1pct	20	0.002	282	6.0	0.067	0.040	498	6.0	0.079	0.060	856	6.0	0.092	0.087	+0.000
EO70	K_decline_1pct	50	0.002	221	6.0	0.068	0.028	365	6.0	0.079	0.047	628	6.0	0.092	0.076	+0.000
EO70	si_proper	10	0.000	343	6.0	0.109	0.006	578	6.0	0.152	0.011	1022	6.0	0.201	0.021	+0.000
EO70	si_proper	20	0.000	377	6.0	0.178	0.001	593	6.0	0.229	0.003	1045	6.0	0.238	0.005	-0.002
EO70	si_proper	50	0.000	385	6.0	0.236	0.000	609	6.0	0.241	0.001	1021	6.0	0.243	0.001	-0.002
EO70	sc_inbreeding	10	0.000	365	6.0	0.069	0.052	598	6.0	0.078	0.076	1010	6.0	0.090	0.102	+0.000
EO70	sc_inbreeding	20	0.002	377	6.0	0.068	0.038	612	6.0	0.078	0.060	999	6.0	0.091	0.087	+0.000
EO70	sc_inbreeding	50	0.006	351	6.0	0.068	0.027	602	6.0	0.078	0.045	1005	6.0	0.091	0.076	+0.004
EO70	worst_case	10	0.022	38	6.0	0.065	0.070	60	6.0	0.076	0.103	91	6.0	0.092	0.137	+0.022
EO70	worst_case	20	0.074	34	6.0	0.062	0.055	54	6.0	0.075	0.089	78	6.0	0.093	0.128	+0.072
EO70	worst_case	50	0.246	26	6.0	0.061	0.039	40	6.0	0.075	0.071	58	6.0	0.094	0.118	+0.244
EO76	baseline	10	0.000	619	14.0	0.294	0.000	1040	14.0	0.339	0.002	1716	14.0	0.380	0.005	+0.000
EO76	baseline	20	0.000	622	14.0	0.272	0.000	1040	14.0	0.325	0.002	1711	14.0	0.375	0.005	+0.000
EO76	baseline	50	0.000	642	14.0	0.238	0.000	1029	14.0	0.304	0.002	1876	14.0	0.368	0.006	+0.000
EO76	area_capped	10	0.000	688	14.0	0.291	0.000	1061	14.0	0.341	0.002	1597	14.0	0.382	0.005	+0.000
EO76	area_capped	20	0.000	726	14.0	0.272	0.000	1040	14.0	0.324	0.002	1680	14.0	0.378	0.006	+0.000
EO76	area_capped	50	0.000	710	14.0	0.235	0.000	1018	14.0	0.304	0.002	1558	14.0	0.362	0.006	+0.000
EO76	catastrophe	10	0.000	651	14.0	0.293	0.000	1040	14.0	0.341	0.002	1831	14.0	0.385	0.004	+0.000
EO76	catastrophe	20	0.000	640	14.0	0.271	0.000	1074	14.0	0.325	0.002	1851	14.0	0.381	0.005	+0.000
EO76	catastrophe	50	0.000	646	14.0	0.248	0.000	1078	14.0	0.307	0.002	1933	14.0	0.368	0.006	+0.000
EO76	K_decline_1pct	10	0.000	590	14.0	0.294	0.000	929	14.0	0.337	0.002	1638	14.0	0.384	0.005	+0.000
EO76	K_decline_1pct	20	0.000	519	14.0	0.266	0.000	860	14.0	0.325	0.002	1478	14.0	0.379	0.005	+0.000
EO76	K_decline_1pct	50	0.000	388	14.0	0.243	0.000	642	14.0	0.304	0.002	1069	14.0	0.369	0.006	+0.000
EO76	si_proper	10	0.000	605	14.0	0.484	0.000	1064	14.0	0.507	0.000	1823	14.0	0.525	0.000	+0.000
EO76	si_proper	20	0.000	642	14.0	0.503	0.000	1060	14.0	0.526	0.000	1815	14.0	0.548	0.000	+0.000
EO76	si_proper	50	0.000	614	14.0	0.519	0.000	1053	14.0	0.530	0.000	1823	14.0	0.550	0.000	+0.000
EO76	sc_inbreeding	10	0.000	689	14.0	0.294	0.000	1074	14.0	0.343	0.002	1791	14.0	0.384	0.005	+0.000
EO76	sc_inbreeding	20	0.000	633	14.0	0.270	0.000	1085	14.0	0.330	0.002	1837	14.0	0.378	0.006	+0.000
EO76	sc_inbreeding	50	0.000	663	14.0	0.240	0.000	1101	14.0	0.302	0.003	1801	14.0	0.370	0.007	+0.000
EO76	worst_case	10	0.000	691	14.0	0.295	0.000	952	14.0	0.341	0.002	1365	14.0	0.383	0.005	+0.000
EO76	worst_case	20	0.000	571	14.0	0.277	0.000	834	14.0	0.327	0.002	1253	14.0	0.377	0.006	+0.000
EO76	worst_case	50	0.000	440	14.0	0.248	0.000	642	14.0	0.307	0.003	969	14.0	0.368	0.007	+0.000
