Individual	Protein
Library005_barcode21	SRK_protein_044
Library005_barcode21	SRK_protein_009
Library005_barcode22	SRK_protein_055
Library005_barcode22	SRK_protein_055
Library005_barcode22	SRK_protein_055
Library005_barcode22	SRK_protein_056
Library005_barcode22	SRK_protein_055
Library005_barcode23	SRK_protein_057
Library005_barcode23	SRK_protein_057
Library005_barcode23	SRK_protein_057
Library005_barcode23	SRK_protein_005
Library005_barcode23	SRK_protein_057
Library005_barcode23	SRK_protein_057
Library005_barcode23	SRK_protein_005
Library005_barcode23	SRK_protein_057
Library005_barcode23	SRK_protein_057
Library005_barcode24	SRK_protein_058
Library005_barcode24	SRK_protein_058
Library005_barcode24	SRK_protein_058
Library005_barcode24	SRK_protein_058
Library005_barcode24	SRK_protein_057
Library005_barcode24	SRK_protein_057
Library005_barcode24	SRK_protein_057
Library005_barcode24	SRK_protein_057
Library005_barcode24	SRK_protein_057
Library005_barcode24	SRK_protein_057
Library005_barcode24	SRK_protein_057
Library005_barcode25	SRK_protein_058
Library005_barcode25	SRK_protein_058
Library005_barcode25	SRK_protein_057
Library005_barcode26	SRK_protein_057
